Title,Content,Mental Condition
Making best of this time,Well I'm binge-watching cooking and isolating in my room I think it's because my whole family is sick and I don't want to catch anything be in the house making me stir crazy but I know it's safe just to stay home just making the best of this time,bipolar-disorder
MENTAL Surge protector overload,"Colorful language used if that bothers you don't read.

I don't know about you but my mental health surge protector almost overloaded today. I had to vent to a friend via text that someone was going to pay if they didn't leave me the fuck alone.  Jan can we have the cuss box back?! LOL
They got the pont when I told them point blank they were getting on my fucking nerves and why.  Now they are both asleep and I have watched 3 movies skipped the boring parts as my attention span is that of a goldfish currently.
I want a haircut and a Jersey Mike's sub. On the upside I have food, water and rent will be paid which is a helluva lot more than some have now.  Both hubby and son's jobs are considered essential personnel but son is on vacation this week.  
I have been isolating for weeks now due to being sick before COVID 19 hit so this is really testing my limits in ways no one had forseen. I wanted to go to California to celebrate my birthday but now I am glad I didn't go. Hubby would have gladly driven me to the airport. 
I also got a stomach bug and could not keep anything down for a while which led to not being able to take meds for 3 days.  I got hypomanic as hell. I'm still somewhat there but it is getting less now that I am able to take meds again.
I have a lot of pent up energy which can not all be attributed to hypomania. I however, do feel very aggressive and that is not good.  Pollen is so high and it was 84 freaking degrees one day this week HOT. I hate the heat to the point the air conditioning is on most of the time. 
The sinus headaches are so bad SunCloud I know you can feel me on that one. UGH.
I was listeneing to Kevin Hines some on  YouTube a few days ago and I tend to agree with him.  This is physical distancing not social distancing because we can still communicate so many ways socially and not have to be around each other. Feel free to disagree but don't argue the matter please. I'm pissy mooded and not up for that. 
Going to go take a hot shower now and decide what to fix for dinner. I HATE COOKING.
",bipolar-disorder
Coronavirus Myths vs. Facts per CDC/WHO,"Just some information to clear up some of the silly things I've heard as of late...
Co-Vid 19 Myth vs. Fact per the CDC/WHO
Myth: Taking a hot bath will prevent me from getting the novel coronavirus 
False. While a hot bath may be a way to relax and ease stress related to the pandemic, it will not protect you from contracting the novel virus itself.
“Taking a hot bath will not prevent you from catching COVID-19. Your normal body temperature remains around 36.5°C to 37°C (97.7 °F to 98.6 °F) regardless of the temperature of your bath or shower. “The best way to protect yourself against COVID-19 is by frequently cleaning your hands.”
Myth: I can get the coronavirus if a mosquito bites me 
Untrue. As the WHO states, “to date, there has been no information nor evidence to suggest that the new coronavirus could be transmitted by mosquitoes.”   “The new coronavirus is a respiratory virus which spreads primarily through droplets generated when an infected person coughs or sneezes, or through droplets of saliva or discharge from the nose.”
False.  From the evidence so far, the COVID-19 virus can be transmitted in ALL AREAS, including areas with hot and humid weather. Regardless of climate, adopt protective measures if you live in, or travel to an area reporting COVID-19. The best way to protect yourself against COVID-19 is by frequently cleaning your hands. By doing this you eliminate viruses that may be on your hands and avoid infection that could occur by then touching your eyes, mouth, and nose.
Myth: Using a hand dryer will kill the virus 
Yet another falsity, as is a similar myth that claims hair dryers can do the same. Washing your hands with warm water and soap will help protect you against the virus, as will using alcohol-based hand sanitizer if soap and water are not available.  Once your hands are cleaned, you should dry them thoroughly.
Myth: Spraying alcohol and/or chlorine on my body will protect me from the virus 
False. Spraying these products on your body will not protect you from the virus.
“Spraying alcohol or chlorine all over your body will not kill viruses that have already entered your body. Spraying such substances can be harmful to clothes or mucous membranes (i.e. eyes, mouth),” warns the WHO. “Be aware that both alcohol and chlorine can be useful to disinfect surfaces, but they need to be used under appropriate recommendations.”
Myth: Rinsing my nose with saline will protect me against the virus 
Though rinsing your nose with saline may help recovery from a common cold, doing so will not protect you against the novel virus.
“There is no evidence that regularly rinsing the nose with saline has protected people from infection with the new coronavirus,” states the WHO. 
Myth: Eating garlic will help protect me against the coronavirus 
Garlic is indeed a healthy food, as it contains antioxidants and can improve cholesterol levels, among other benefits. But unfortunately, consuming this food will not protect you from being infected with the virus.  “There is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus,” says the WHO.
Myth: Essential oils will protect me from getting COVID-19 
There is no evidence of this. In fact, The Food and Drug Administration (FDA) recently sent a letter to an essential oil company urging them to stop saying their products protect against COVID-19.
Myth:  Does taking Ibuprofen worsen COVID-19 Symptoms
Ibuprofen does not increase symptoms of the coronavirus.  ""It's just not true. It is OK to take Tylenol, it is OK to take ibuprofen. There is no association with severity in symptoms or outcome to the virus.
Myth:  If you cannot hold your breath for 10 seconds, let it out and not cough, you have the Coronavirus
Once again that is a completely made up myth and not a barometer of medical testing or triage.  There is no evidence from the WHO or CDE that is used at a triage criteria.
Can an ultraviolet disinfection lamp kill the new coronavirus?
UV lamps should not be used to sterilize hands or other areas of skin as UV radiation can cause skin irritation.  And they do not kill the Coronavirus.  
Are Antibiotics effective in preventing and treating Co-Vid 19.
No, Antibiotics do not work against viruses, only bacteria. 
The new coronavirus (2019-nCoV) is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment.
To date, there is no specific medicine recommended to prevent or treat the new coronavirus (2019-nCoV).
However, those infected with the virus should receive appropriate care to relieve and treat symptoms, and those with severe illness should receive optimized supportive care. Some specific treatments are under investigation, and will be tested through clinical trials. WHO is helping to accelerate research and development efforts with a range or partners.",bipolar-disorder
virtual drum circle,"due to the corona quarentine I've been just anxious - eating way too much- and not knowing
what to do about it. So I thought maybe, some how we could make a virtual drum circle here.
Don't know how to do it: any thoughts?

bum prrum bum prrumm bum.",bipolar-disorder
Another night of no sleep~~,"I've had back spasms for 2 weeks now and haven't been sleeping much...now 3am wide awake. 
Anywho...I found this music for sleeping and healing immune system incase anyone else is feeling anxiety, physical pain or ????
Take Good Care!
https://www.youtube.com/watch?v=KwM772f7_AI",bipolar-disorder
Take it serious,"I have tested positive along with most people I know since we have been taking care of people who have the virus. Now this is no joke this virus will kill you we have seen a lot more patients that are ages 20-60. As for my symptoms it is rough....I have 104 temp my body feels like it has been run over from a semi many many times. I dread when I have to move. My breathing is worse I cannot lay down because I can't breath walking to the bathroom is a struggle. I know I will be ok I'm in the crappy time but it just sucks. My depression is at all time high. I spend a lot of my time thinking the world and my kids would be better without me. So physically I will get through this but not sure about mentally and yes I have talked to my therapist but can only talk on the phone and it isn't the same. Blah blah blah.

My wish is for people to dig deep and step out and either make sure your neighbor is ok or do anything but just sit there. We can all do something. Reach out my friends please people need you.  Thanks for people who read this and think about what they can do. If it is just talking to people more on this site that is great. Well best wishes sorry no namaste in me",bipolar-disorder
OT Take A Breath...Please,"""The Johns Hopkins Center for Systems Science and Engineering's online tally showed 201,436 cumulative cases by 11:13 GMT (7:13 a.m. EST) on Tuesday, """"""""""with 82,032 listed as recovered.""""""""""
I think of so many people who are suffering because of Fear of what ""probably won't happen"" to them. In times past when there have been media bomb blasts of bad news for mental health a method to help reduce anxiety is to turn off the tv and the radio...and yes now the internet media.
My thought goes to the horrors of war, genecide, poverty, dirty water, hunger all over the world. There are many provisions being made for unemployment and help for All to get tested and medical treatment. The best thing you can do is to just wash your hands and keep them away from your eyes and mouth, and """"my perspective"""", to pray for Highest Good of all concerned.
My frustration and anger stems from the media coverage. Sending out prayers for all the wonderful people who are serving those who are sick and the many others behind the scenes working so hard to find cures and financial needs.
Please forgive me if this post upsets anyone...
",bipolar-disorder
Borowing Cuss Bucket from PTSD board,"We have a cuss bucket on the PTSD board  now and then.... When we need to let out the tention and anxiety and I think that time is now with all that's  going on in the world
Sooooo.... Let it out and drop  it in the cuss bucket.....  Damn....damn..... Shit.... and ending with a fucking  scream!!!.... What say you!!",bipolar-disorder
Out of control,"I am at my Mom's house I have been sick.  She's 95 and was imaging the doorbell was ringing last night.  I slept over so she wouldn't be afraid even though I didn't want her to get sick there was no choice.  I got up and got out of control, because we hired a homehealth aid which it was hard to convince my Mom to get. Anyway she put the recycling in front of garage instead of by the curb and I got really mad and started cursing.  Than my it was drama.  I live in another house she owns.  I'm normal I want to give back, but she won""t take help, she denies needing any help.  She is proud and  very self absorbed.  She is very difficult.  I'm am acting out.  I guess by having this outlet I realize I can only take care of myself and can't change her.  Does anyone have a similar situation or any advice?",bipolar-disorder
Corona info FYI,https://www.coronavirusnow.com/,bipolar-disorder
anybody in Irelan - you could help,https://forms.hbsrecruitmentservices.ie/form-33832/,bipolar-disorder
My therapist is leaving,My therapist is leaving me. I am crushed. We've been together for four years. She leaves the middle of June for an internship for her doctorate. She said she will set me up with someone else before she leaves. What if the new person and I don't click? I need to get a great therapist who I can tell everything too. I am lost. I don't know what to do. ,bipolar-disorder
Off topic but I need help!,Hi I'm trying to upload a profile pic and background image but it keeps giving me an error. I have done it many times and still nothing. I did send a message to the staff so hopefully I will get a response soon but just thought I would see if anyone else may know what the deal is. Do they have to be a certain size? The pics that is...,bipolar-disorder
new projects,"been working with wood pieces painting and putting words and letters that i cut out with my cricut keeping busy is the only way for me to cope with this illness

been going up and down too fast and broke the bank with amazon not sleeping and full of benadryl i felt sick so cut down and using essential oils they really work so doing better with the psoriasis wish i could say thast about my moodswings

i can only call nurse if i want an increase in meds i am on max and there is no evidence that says that more will help she is an idiot so dealing with them myself",bipolar-disorder
The Angeries,I have a bad case of the angries because of the corona virus.  It's ruining the world!  My life was bad enough then this comes along.  It's things like this that makes me wish I was dead.  I'm not afraid the virus.  Most of what's in the press is a lot of hype but the sheeple had to panic.  Now things are completely out of control!  Things will never go back to normal!  We will end up living in a dystopian wasteland!  That is not how I want to live!,bipolar-disorder
OT Very Cute :),"Bird Wisdom :)
https://www.aol.com/article/news/2020/03/18/einstein-the-parrot-offers-some-words-of-encouragement-to-those-frightened-by-the-coronavirus-pandemic/23954603/
Hoping All are having a calm day...per Pema on my previous post, I'm So Sorry to read you have the virus as a nurse, thank you for all the care you were able to give!!!
What she wrote was to take care of yourself, lots of water, tylenol and rest.
Take Good Care and Lots Of Huge Hugs :) with continuing prayers for your Highest Good",bipolar-disorder
Getting Back up after being knocked down,"After medically withdrawing from classes this semester I’ve decided to use this as an opportunity to better myself. I’ve signed up for free instruction online at Coursera dot com and Kahn Academy dot com. I’m going to commit around one hour a day per class for instruction. I’ve also been in contact with my school and I am getting help from an academic coach who I will video conference with once a week to keep me on track. I’ve been crying a lot but having a plan in place is making me feel better. I start chemistry and precalculus tomorrow (MWF). I start a foreign language (Irish) on Tuesday (TTh). I’ve been doing Irish on duolingo for about a year but my local library has a website where it’s a little more in depth called Mango.

I had a video conference with some friends last night and that made me feel better. The only thing left is to tell my parents, who come home from a trip on Saturday night, about my current academic situation. Wish me luck!      ",bipolar-disorder
Intense depression,"I'm experiencing some intense depression. Just about as bad as it gets for me. I cycle really fast, so it will likely be better in a day or so. I would love to check into a mental hospital but it's not at all necessary. I just want to be in a place where I can surender to the sadness and yet feel safe. I also enjoy the way staff members treat me at mental hospitals. They tend to be the most understanding people. There's also a feeling of shared pain I get from being around the other patients.",bipolar-disorder
Share something good!,"With all the chaos in the world right now and so much bad news, let's all share something good. Be it about you or the world, let's be positive for a moment. 
I just bought my bridesmaids dress for my disgusts wedding. Should arrive in late May. I did a custom size so I am praying I measured myself correctly. ",bipolar-disorder
You guys doing ok?,I just came from the Costco pharmacy to get some meds and people had really mobbed the place. They were keeping it all as organized as possible but it was really intense. I hope you guys are doing ok out there. Covid 19 is really crazy!,bipolar-disorder
On alert,Had something very scary happened tonight my sister was in the backyard with the dog and then couple minutes later I heard bloody murder outside she was screaming at the top of our lungs she had fell and everything was just rushing and jumping into conclusions she fell on her ankle the same one she had fell on a few months ago so it's probably really damaged I scared me to death because I've had injuries in the past and it come in put me in all in shock adrenaline just ran through my blood and I started crying she's okay but that was a close call she made it in the house but all I can think of is that I did the right thing and I got help,bipolar-disorder
Saw it coming,Was looking forward to visiting my mom from her visiting from out of state but due to the coronavirus that is not going to be possible just thinking to my brain that it might be a while before this all comes down best if I just stay home for now it was just that I was looking forward to this but I'd rather not risk her coming then getting sick so maybe a win win idk,bipolar-disorder
My Animals are my therapy,"I can't spend all day in bed because I have four dogs to care for. I am grateful for them. I can't sleep in because my Rocket is taking meds for a skin infection and needs pills every 12 hours. I have to bathe him twice a week. I can't spend all day in bed because I have animals that need care. Forget me. My animals count on me. Yes my parents help but as two of the four dogs are mine, I help care for all. Without the responsibility of my dogs, I don't know what I would do all day. Lay around probably. But they need care and I am grateful to have them. They keep me active which is so important for me both physically and emotionally. I need them maybe more than they need me. I just wanted to share that pets are extremely therapeutic for me even when they are a handful. I'd rather have all four of them than just one or two. They keep me going and keep me busy during the day until I go back to work tomorrow when mom will care for them while I am gone. I go three laps around the block in nice weather so they can get out and exercise. ",bipolar-disorder
New Diagnosis,"Hello everyone!

I have been posting on here alot about the struggles I have been going through. 

I finally got some answers today, though my world came crashing down I am now starting to feel almost relief as I can stop asking myself what is wrong with me?

I was diagnosed with Bi Polar disorder. This is totally a new world for me and I never expected this but I am starting to see more clear now if any one has any insight and inforamation please share I want to learn everything I can about this!
",bipolar-disorder
Happy Pi Day,,bipolar-disorder
It’s unbearable,I just cannot wait till bedtime! I'm done with the day. I'm done living. Just let me sleep till my sisters wedding in August. I have church and a lunch date tomorrow. Then work Monday. I can't bear getting through another day. I can't believe there are still 3 more hours I have to put up with. Any ideas on how to occupy my time? I've already walked the dogs and I'm done with crochet. Maybe I'll pick up a book. ,bipolar-disorder
Taking Medical Leave for the rest of the semester,"I'm taking a medical withdrawal for the rest of the semester. As a lot of you know I have been struggling with school. I thought the best thing for my mental health and my GPA was to medically withdrawal. I might get some of my money back (which would be nice). I will have to repeat all my classes in the fall (which will suck) but I just have to do what I have to do. 
Also, I feel that I will not be able to continue with online classes. My college is transferring all classes to online learning, due to the corona virus, and I have NEVER done well in an online setting. 
I will probably regret making this decision but I see no other alternatives. I could take summer courses but its about $1000 a credit. Which would make my math class a $4000 endeavor.     
I just don’t know how I’m going to tell my parents.  
Olive",bipolar-disorder
Meniere's disease now added to the list!,"does it ever end? vertigo used to be random and didn't last long. about two weeks ago it started again but more severe and has been unremitting since. First med did not help. Started new one today so hopefully this one works.
A small taste of being absolutely alone at home with zero help.
not fun.",bipolar-disorder
I’m getting round,Yesterday I looked at myself in the mirror. I am getting round.  I asked mom if she agreed and she noticed it a while ago she said. I don't know what to do. Probably eat netter and exercise. I want to eat all the time. I am trying to snack healthy. I should walk more and snack less. I hate that I am gaining weight. At least ten pounds I. The last couple of months. I know it's the zyprexa and the depression making me want to eat more. I am now in a size large clothes when I was a medium in the fall. I went shopping and went to the mediums but they are too tight. I haven't minded much as long as I have clothes that fit. But I am getting round which is depressing. In my early 20's I was a size 0. So going from a 0 to a 6-8 is hard. ,bipolar-disorder
Credit,So I have something really odd to talk about so I went to my bank they said that I was able 2 get a credit card from them but I am not really sure if a credit card would be such a good idea because of my diagnosis being bipolar would cause me to go on a spending binge if I got sick with Mania so I'm just seeing who out there thinks that maybe not getting a credit card if need be even though it might help with building credit would be a waste of time is it benefiting me but I'm happy to say that I have not had an episode for almost eight years any thoughts to this I think I'm doing the responsible thing,bipolar-disorder
roll call and just because hugs!,That time again. Big Fat Hugs for all.,bipolar-disorder
self harm urges,"I feel like punching myself in the face or punching somethign else until my knuckles bleed, I feel like screaming. I don't want to be here anymore. I don't want to deal with anything. the mood swings, the constant mistake I make, the people I hurt, the people I lose, the future I struggle for even though I am not sure I want it. I am just tried, tired of hating myself, tired of everything. I am at school right now but I don't even know if I am handle being here right now. I feel like I am about to burst into tears which I hate because I feel so weak. I am weak. I am nothing. ",bipolar-disorder
Hump Day Music,https://www.youtube.com/watch?v=1UUYjd2rjsE,bipolar-disorder
So depressed I skipped school today :(,"
I skipped school today because I was so depressed. I spent the whole morning crying and laying in bed. I’m just not sure that I’m cut out to be a college graduate. An idea that sends me to terrible places. I’m thinking of taking a medical leave of absence for the rest of the semester, in a last-ditch effort to save my GPA. I’m a sophomore which means I’ve racked up thousands of dollars in debt that I couldn’t afford to pay off if I don’t graduate. I don’t know what to do, I am so sad.",bipolar-disorder
Hi all! New here....,"As the title says, I'm new here and looking to meet new people and share our experiences with and support each other. I have tried many other sites but hardly any of them provide any real support and people tend to go off topic a lot. I don't have a car so I can't make it to the peer support group meetings in my town which is all the way across the other side of town so I try to find support groups online and also me being an introvert makes it even more perfect for me anyhow. Well here's looking forward to sharing with you all! Big hugs from East Texas!",bipolar-disorder
Dbt group in April,The Dbt group I am interested starts in April. I have two intake appointments to get to next week is one the other is the week after. This means no more IOP beyond tomorrow I guess. I'm excited to start dbt but I have to leave the house at 7am to get there for an 8:30 appointment. It sucks there aren't any dbt groups closer to me. And it's in the early afternoon when they meet from 2-4,bipolar-disorder
IM IN THE WEDDING!!,Big sister is finally getting married in August. She called me the other day concerned that I would be too anxious to be in the wedding plus I can't afford to buy my dress before the deadline. It is very important to me to be a part of her big day and she expressed she just wants me to be comfortable and she is fine if I am in the wedding or not though she really wants me to be part of her big day. So I asked mom to help me buy my bridesmaids dress and she has agreed. I am so relieved I don't have to drop out of her wedding. I will have time to save up for the wedding and all costs involved. I can do my own hair and makeup so that's money saved. I may need to buy shoes but I can get cheap sandals if need be. I am so relieved!!,bipolar-disorder
Lamotrigine/ Lamictal?,"Hey everyone, 
I just started Lamotrigine, the generic of Lamictal. Has anyone been on this medication? I'm not sure how I feel when I'm on it. I started two weeks ago taking it twice a day and now its been upped to three times a day. This is the forth medication I am taking right now. I don't feel as low as I was, but I didn't skyrocket into mania which is nice. I have noticed an uptick in ST and random feelings of panic but I'm not sure if thats just because of school. I do feel better but I also gave up alcohol which can improve mood. 
Thanks,
Olive  ",bipolar-disorder
Zoloft and fatigue,It could be the Zoloft or it could be the depression and anxiety but who can tell? All I want is to sleep all day and I physic cannot. Rocket is happy to lay in bed with me and binge watch Netflix but I just want to sleep. I think dr may lower my Zoloft as I am at 100mg right now. dad thinks I need a med tweak. He says I have a forlorn look in my eyes and I am very clingy. I don't see my dr until next Wednesday though,bipolar-disorder
Feeling alright today.,Group was ok. I don't get to wear my new dress because it is cold and rainy today. I feel ok. I'm crocheting a cardigan for myself. It's working up fast. Just wanted to let you all know I feel alright today. ,bipolar-disorder
Wrong medicine,Just an update I'm doing much better the last two days. I was on effexor and I think it made me suicidal. I tried taking it in the past then had a mixed episode so when my new psychiatrist asked if I took it I told her what happened but I said I didn't think I was on it long enough to know if it worked. Now I know for sure it triggers an episode for me. I'm still having SH thoughts but not obsessive like they were.,bipolar-disorder
My son got me this,"I am a huge Star Trek fan and my son got me this mug for my birthday.  It is from the new series Picard. It says ""Choose to Live"". It is a strong reminder for me that suicide is off the table and I am choosing to live. 
Granted, we have been passing around a cold the past several weeks and I've not gotten much accomplished this year honesly but this is also a reminder to try https://www.youtube.com/watch?v=bUoRbZtfde0 and to Seizr the Day  https://www.youtube.com/watch?v=7lmqtYR5tJo.
As I sit and drink my coffee in my new mug and listen to these songs it inspires me to get more done even though I don't feel well.  I had a good birthday (it was on Monday) despite sleeping most of the day and not feeling up to par.
I really should get on a daytime sleeping schedule but nothing is forcing me to.  it is what it is . :)



",bipolar-disorder
Coronavirus.gov,"https://www.cdc.gov/coronavirus/2019-ncov/index.html
The Vice President Pence just offered this new website which has common sense
tools with which you can protect yourselves, family and businesses during this time.
Stay safe everybody!!",bipolar-disorder
Just a BMW,"When I was training to be a life coach one of the tutors introduced me to the idea of giving clients a BMW. As in ""bitch, moan and whine"", allowing people to get stuff out of their systems before getting on with the more constructive part of the session.
Here's mine.
Winter here is turning to spring. Forget Corona Virus, politicians etc, in the real world nature is getting into gear for the year's big event. The birds to us sound like a joyous tapestry of sound, in fact it's a bunch of feathered louts shouting ""pick me, pick me!!"" and ""hey buddy, this is my patch move along!"". Occasionally this is interrupted by a low ""helllllooooooo ladies"" belch from a lone frog in the pond.
My own response to the light change is to start to go into a state of jittery confusion, running around in circles and yelping like a small dog watching Top Gear and isn't sure what the appropriate response should be.
I've got so many musical ideas, I write them down at night and when I get up I look at them in the morning I think, ""yeah, no"". I'm taking seroquel at night in a hope to air brake my way to normality but it just keeps coming back. My psychiatrist says keep doing what I'm doing but it eats up weeks of my life every year. 
Well that's my BMW.
Back to dealing with the world.


",bipolar-disorder
My car was vandalized,I'm scared and in shock someone speared dog shit on my back window. I have a hatch back. It looks like the poopertrator threw it on the car. But I think they just took the bag of dog shit and smeared it on my car. I'm shocked and this has made me feel so depressed. I have a suspect in mind. I'm so emotional and scared. Like to me that is psychotic not bipolar disorder.,bipolar-disorder
Retail Therapy,"Today I went with mom to her physical therapy appointment. We got coffee afterwards and went to the pet store to by dog food and a toothbrush for Rocket. His teeth need cleaned.
we came home and I tried to nap but couldn't relax enough so I asked her to take me to the local second hand store. I bought some dresses, a new hat, and a pair of sandals. I feel a little better today but still pretty low and depressed. I did walk the dogs which was nice since it's 65* out today. I'm trying to stay busy but have zero  motivation to do anything. I start back to IOP tomorrow. One of the main counselors is leaving. She is the one who does my one on ones so I won't be able to have that at IOP. I still have my individual therapist though. She is on vacation this week so I can't see her till next week. I'll be fine. I always am 
but that's what's going on today. ",bipolar-disorder
support,I'm looking for a place I can come to for support...talking about problems from having BPD.  People that have been through the same situations that are the result of the syptoms of BPD.  I hope this is a good place to share.,bipolar-disorder
TW Suicidal thoughts continue,"While the worst passed during my hospital stay, the last several days there I had no suicidal thoughts. They are back again. Not strong but they are here. I believe I don't have a life worth living. They almost didn't discharge me because while my depression scores were lower on the last day than the first, they were still pretty high. Unfortunately my therapist is on vacation this week coming so I won't see her. But I go back to IOP on Tuesday so I can talk there. ",bipolar-disorder
TW Low self-esteem,"The last 10 days have been a nightmare. I've been having self harm and suicidal thoughts. My self esteem has been so low lately. For example I looked at a picture of myself today and thought you're so ugly I hate myself. I feel like a failure and like I can't do things. I wound up cutting twice because of these obsessive thoughts. I want to live and I know I have things to live for. My doctor switched my meds and today is the first day I'm taking it, hopefully this one works. I just need some encouragement. 
Thanks
-Angela",bipolar-disorder
It's SUNCLOUDJD's Birthday!!!! Wish her joy!!,"It's Jan's Birthday everybody!! 
Happy Birthday Jan!!
Have a joyful day!!
x
Mark",bipolar-disorder
A friend could use  some hugs,"Our dear friend Thor has lost his beloved  Father.....  I'm sure he could use some support from his DS family....  Big hugs and TY.....xo
https://www.dailystrength.org/journals/my-father-passed-away-1",bipolar-disorder
The Lying Detective,"As Gatiss and Moffat wrote for The Lying Detective episode, Your life is not your own. Keep your hand off it. 
I'm keeping my hands to myself for now, adjusting meds, increasing therapy. Just wanted to let my community know.",bipolar-disorder
Stopping back for perspective,"So about a year ago I meet a friends coworker who went with us on a cruise. We hit it off and started flying back and forth dating. Started to get expensive so I decided to take the leap of moving out there. I could have got my own place but she said it was no problem.
So things are going pretty good except for stress. I feel I'm understandably a little stressed about having left friends and family to move half way across the country. It started out as ""our"" house and quickly became ""her"" house. She owned it but I'm trying to get out the idea that things started having to be done her way and on her timetable. She would nitpick lots of stuff. One time I forgot about a salad I think and it went bad and I got this huge lecture about being wasteful which I was sorry for and was more than willing to pay for it if I already hadn't. 
So after a while I would start to get angry about all of this. Things rarely bother me until someone constantly makes things an issue. Did I mention I now work a 14 hr shift and commute 3.5 hrs round trip. And it's a physically intensive job. I got berated for not keeping up with dishes even though she worked from home most of the time for maybe 8 hrs. I would get intensely angry sometimes and walk off to cool off. That would piss her off because I needed to tell her what I was doing etc even though I was seeing red.
Anyways she recently broke up with me after around nine months of living together. I uprooted my life. Left my friends and family. Transferred job. Was gone 17-18 hrs a day for that job. All for her. I'm not saying I couldn't be an asshole when she would get upset with me about all the little stuff I didn't think mattered in the grand scheme of life. Was I in the wrong? Any suggestions on what I should have done? Could have done? Shouldn't have done? Etc",bipolar-disorder
How can we make medicines information better?,,bipolar-disorder
Back from inpatient,Spent 10 days on the inside. It was safe and I was allowed to go outside for smoke breaks in the fenced in courtyard. That's all I can say about that. The place was over an hour from home though so nobody visited me. I did get phone calls though. I am home snuggling with my Annie now. ,bipolar-disorder
relaspe,"It's easier to lie at first but the consequences are far worse.  I'm going to lose everything if I can't control myself.  I know right from wrong but I can't control myself when I think I don't want to deal with conflict.  Or if I know I'm not going to get the anwer I want.  I just lie to make things easier.    I know it's wrong.


",bipolar-disorder
Covid 19,"I hope everyone is keeping up with handwashing/sanitisation, social distancing, stopping shaking hands and greeting kisses etc. So many of us have comorbid chronic conditions and are high risk. I hope anyone living in affected areas is keeping safe and I just wanted you all to know that you guys are in my heart and thoughts.",bipolar-disorder
Exhausting my options,Group today wasn't helpful. Still very anxious. Still suicidal thoughts. I see IOP psychiatrist tomorrow. I'm gonna tell her I plan to swallow a bottle of sleeping pills. If they pink slip me oh well.  I need out of this hell,bipolar-disorder
Sun Moon stars clouds," a a little hard to see can't find good light made so many they are all lined up on a rod no more room keep hitting my head on them when I go to the kitchen LOL
",bipolar-disorder
Dreamcatcher,Had this idea had to put it to work it worked pretty good looks pretty cool. Perfect but pretty cool,bipolar-disorder
Sunday check in,"How's everyone this weekend?
Im packing up my apartment again for another move.  Moving is a big stressor, even fairly easy moves, so I'm trying to keep my anxiety in check.  If I were wealthy I'd hire movers to pack it all up for me, but I'm not.... so here we are.

pack a little rest a little pack a little rest a little 

how's everyone?",bipolar-disorder
Common sense,Has anyone ever been to a clinic that they're going through to get services and you become good friends with the people that go there and you find drama and nonsense in the mix are some ways I can deal with avoiding that situation?,bipolar-disorder
Last ones I promise,"
",bipolar-disorder
Doing a little better,"I know most of you didn't read my last post cuz it had a trigger warning but I just wanted to update you guys that I am feeling a little better not suicidal now. I talked to my in laws about what was bothering me and my therapist called me yesterday and talked it out with me. I got in a spat with my dad, I had to cancel my son's birthday the day of 5 hrs before the party because my husband was sick and I didn't think it was fair the father couldn't be at the party. Well my dad said I was being inconsiderate to everyone else and people get sick and life has to go on. This really hurt me. This amongst other things that built up, like I felt very overwhelmed with doing it all. My husband has been ill for a few months so I've been doing all the chores, taking car of my son bringing him to speech therapy, school, work I'm just drained. 
I see my psychiatrist today and my therapist friday. I thought it was amazing my therapist called me yesterday to check in on me and give me some advise! I just started seeing her a month ago and I really like her. 
Thanks for listening",bipolar-disorder
Music!  Music!  Music!,"I am feeling nostalgia and sadness tonight and have been listening to music that captures these emotions or reminds me of a departed loved one or folks at a distance that are no longer in my life.  I know it's Saturday and this should call for a party, but sometimes music is just the right medicine.

pick a tune and tell a story about why you love it or what it reminds you of:",bipolar-disorder
Mid-week Check In!,"Okay so I'm leaving the office before 7:00 tonight...first time this week.  Meeting my ""Siggy"" (other half/better half) and his brother, (my bff) for drinks and then home...someone decided it was time to be sociable...it was not me, I was out-voted.  I also do not drink, so no worries.  These outings are always fun (eyes rolling) as my bff is my ex-Pdoc, so lots of verbal sparring....one-upping and basically who can out-wit the other.  Its fun when the person you live with and knows everything about you and the person who was your Pdoc for 10 years and knows .... everything about you....are both very much in your life daily...but in very, very differnt ways.  So wierdly, strangely, never boring...fun...as if life needed to be more complicated.  Yes I have a need to never, ever make things easy for myself, I think it's a genetic ""need for a challenge"" thing!
1 more day of work tomorrow...1 more day of freight logistics, 1 container coming in from Turkey, 1 coming in from France and 2 coming in from Holland next week...1 more day of building a new POS Inventory system from scratch with a Programmer who's in Istanbul....and sending changes back and forth in broken languages....1 more freaking day...and my weekend starts!!!!!!
Hope y'alls Wednesday has been fun and not too stressful!  I'm off for social time! Woo-hoo!
",bipolar-disorder
Another one on a roll,"
",bipolar-disorder
I really really appreciate you all supporting me t,Feeling better today to sleep is getting a little better but it's not quite there but at least I can say with the help of everyone here and the support and the nice messages I can honestly say this is a really safe place to talk with others who might experience the same thing. So I want to just say hugs to all of you!,bipolar-disorder
thurs,could not sleep again last night kept busy but it is getting a little much but did a lot they look good just have to figure out what to do with them lol house full,bipolar-disorder
And guess what this is,"
",bipolar-disorder
